スル,する
セイザイカイ,政財界
ガンリキ,眼力
ミユキ,三行
サキバライ,先払い
ジョウヨク,情欲
ナイオウ,内奥
ウワグスリ,うわぐすり
フデキ,不出来
ケンポ,健保
ハタガシラ,旗頭
リスウ,理数
バイス,バイス
ヒキニゲ,ひき逃げ
サカモリ,酒盛り
ガンケン,頑健
グウタラ,ぐうたら
カクイ,各位
ヒンノウ,貧農
ハフ,破風
モクヒ,黙秘
サミダレ,さみだれ
クリクリ,くりくり
カイナラス,飼いならす
メガホン,メガホン
サラアライ,皿洗い
オオイリ,大入り
ドラ,ドラ
タクジ,託児
ジス,辞す
シボリトル,搾り取る
キンミャク,金脈
レッズ,レッズ
シッカ,膝下
メクジラ,目くじら
サゲン,左舷
ヤト,野兎
ナガレクダル,流れ下る
シュゼイ,主税
フワタリ,不渡り
キタマエ,北前
テッペイ,撤兵
キコツ,気骨
アイゴ,愛護
ミウリ,身売り
カイキョ,快挙
シタリガオ,したり顔
センギョ,鮮魚
アエル,あえる
ホウシュ,宝珠
デンキョク,電極
カンバイ,完売
イロカ,色香
シンボリック,シンボリック
スウケイ,崇敬
シタヅミ,下積み
ウカウカ,うかうか
タンジュウ,胆汁
テレビジョン,テレビジョン
ウリコ,売り子
リョウヒジ,両ひじ
ゴヨウ,誤用
バアヤ,ばあや
マリネ,マリネ
ヤラセ,やらせ
スウジク,枢軸
トウテツ,透徹
カンセキ,漢籍
ケッチュウ,血中
カキゾメ,書初
ゼンチ,全知
クビレ,くびれ
グリ,繰り
ドカス,どかす
ナツバテ,夏バテ
シニザマ,死にざま
ミンチ,ミンチ
シュウコウ,就航
サクヅケ,作付
ユカウエ,床上
タナビク,たなびく
ネエヤ,ねえや
ナイツウ,内通
バフン,馬糞
ジョウリョク,常緑
ハワタリ,刃渡り
ユウエイ,遊泳
ユガク,ゆがく
ムシクイ,虫食い
コンパン,今般
ツルハシ,ツルハシ
ヒトカワ,一皮
ノビナヤム,伸び悩む
チュウニク,中肉
フリル,フリル
サンダツ,簒奪
オセロ,オセロ
サクガ,作画
ツンザク,つんざく
ズウタイ,ずうたい
ジツガク,実学
ヌイアワセル,縫い合わせる
フレコミ,触れ込み
ゼンペン,全編
チカラモチ,力持ち
バウンド,バウンド
エイタツ,栄達
ヘンシ,変死
エキジョウ,液状
ミニマム,ミニマム
ハクガン,白眼
リュウゲン,流言
アオクサイ,青臭い
ベンズル,弁ずる
カコツケル,かこつける
セリエ,セリエ
モライウケル,もらい受ける
モチハコブ,持ち運ぶ
カイチン,開陳
ロウカイ,ろうかい
ウツウツ,うつうつ
ヒキリ,ひきり
キガマエ,気構え
ショウショク,小食
タンパン,短パン
オモト,尾本
カイリキ,怪力
アタマゴシ,頭越し
ピンポイント,ピンポイント
ショウバン,小板
ノロシ,のろし
コビン,小瓶
キョコク,挙国
フシアワセ,不幸せ
メイオウ,冥王
レンダ,連打
カザリツケル,飾りつける
フェラ,フェラ
ゼンキン,前金
セキサン,積算
ニジリヨル,にじり寄る
イヤシム,卑しむ
アンブ,暗部
サナギ,さなぎ
テガタイ,手堅い
ジャブ,ジャブ
ラシャ,ラシャ
カズ,下図
ツキヤマ,月山
ハイオク,廃屋
ツゲグチ,告げ口
カタボウ,片棒
シンクロ,シンクロ
ハジョウ,波状
ガチョウ,ガチョウ
ウチスエル,打ち据える
スジメ,筋目
キュウガタ,旧型
モンゴロイド,モンゴロイド
プレジデント,プレジデント
テッキ,鉄器
コノエ,近衛
センオウ,専横
タナン,多難
サイレント,サイレント
ツナワタリ,綱渡り
スパイラル,スパイラル
ナイカン,内観
ホシクサ,干し草
ホウイン,法院
ヤクドシ,厄年
パルチザン,パルチザン
ジュンカ,純化
ガバメント,ガバメント
シャクリアゲル,しゃくり上げる
ペチャンコ,ペチャンコ
ウワムク,上向く
タイタニック,タイタニック
アブラッコイ,脂っこい
サトヤマ,里山
ガイダンス,ガイダンス
モウシゴ,申し子
ポッチャリ,ぽっちゃり
ヒトナミ,人波
シャキョウ,写経
アスパラガス,アスパラガス
ソムリエ,ソムリエ
マンチョウ,満潮
カンゼオン,観世音
フクジュ,福寿
クロビカリ,黒光り
ユミズ,湯水
ヘブン,ヘブン
カラン,からん
プカプカ,プカプカ
カシヌシ,貸主
ラッキョウ,ラッキョウ
ラクチン,ラクチン
ドウダン,道断
コウケ,高家
ヤッコウ,薬効
ランホウ,卵胞
テグス,テグス
ハコビイレル,運び入れる
リョウダン,両断
ツキッキリ,つきっきり
コケシ,こけし
セイコン,精魂
ミンユウ,民有
エダマメ,枝豆
ブレス,ブレス
トフ,塗布
リョウショク,糧食
ネンリキ,念力
バクセイ,幕政
ツマミダス,摘出す
ジュラク,じゅらく
カキン,課金
カモイ,鴨居
マスメ,升目
ネンリ,年利
ミッツウ,密通
クック,クック
コメグラ,米蔵
ボンプ,凡夫
カラゲ,からげ
オシコミ,押し込み
ダイゼン,大膳
アイゾメ,藍染め
ゲニン,下人
アサモヤ,朝もや
カニク,果肉
コッピドイ,こっぴどい
ラツワン,らつ腕
オンスイ,温水
ジョウロ,じょうろ
アサギリ,朝霧
タカラサガシ,宝探し
ジョスル,じょする
ウラバナシ,裏話
コシイレ,輿入れ
ゴウソウ,豪壮
ワジュツ,話術
シケツ,止血
オモイワズラウ,思いわずらう
カップク,割腹
クモユキ,雲行き
ゲヤ,下野
ハシケ,はしけ
ユウゴハン,夕御飯
アキレガオ,あきれ顔
ホレボレ,ほれぼれ
モンチャク,もんちゃく
カンジダ,カンジダ
モゴモゴ,モゴモゴ
ノベツ,のべつ
グザイ,具材
オンヨミ,音読み
アイゾウ,愛憎
ゲドク,解毒
グンチョウ,郡長
タカシオ,高潮
ベアリング,ベアリング
オオダイ,大台
ゼッセイ,絶世
デュエット,デュエット
シュッテイ,出廷
スパム,スパム
クントウ,薫陶
コアラ,コアラ
ヒビワレ,ひび割れ
ムセブ,むせぶ
トオアサ,遠浅
センエキ,戦役
シタムキ,下向き
コンパニオン,コンパニオン
バロン,バロン
ネフダ,値札
マノビ,間延
クチゴタエ,口答え
ヨロコバス,喜ばす
ゴロツキ,ごろつき
ホウスイ,放水
ポチ,ポチ
コクショ,国書
ハコニワ,箱庭
コンセイ,混成
シッショク,失職
オメミエ,お目見え
フレ,ふれ
ジョウヒョウ,上表
ポコ,ポコ
ルザイ,流罪
キョセキ,巨石
カイバ,海馬
サンズル,さんずる
ビュッフェ,ビュッフェ
シュクテン,祝典
イキョク,医局
ビヤク,媚薬
ハンポン,版本
ミサカイ,見境
プント,ぷんと
ヘンピ,へんぴ
コバチ,小鉢
ショウリョク,省力
ネムリコケル,眠りこける
ショウニュウ,鍾乳
シンパツ,進発
スリカワル,すり替わる
バイスウ,倍数
レンセイ,錬成
ヒンコウ,品行
フカフカ,ふかふか
グシン,具申
ヘツラウ,へつらう
ブンドル,分捕る
ニゴリ,濁り
キャクアシ,客足
オクテ,おくて
ウマノリ,馬乗り
シメナワ,しめ縄
アツカン,熱燗
マネキヨセル,招き寄せる
シリヌグイ,しりぬぐい
セイシュ,清酒
カオミセ,顔見世
ジヅラ,じづら
サフラン,サフラン
サクズ,作図
キエイ,気鋭
リュウカ,硫化
コウゲ,高下
コンツェルン,コンツェルン
ウデキキ,腕利き
アワヤ,淡谷
ホウブン,法文
ソダイ,粗大
モニュメント,モニュメント
シュンジツ,春日
ジュウザイ,重罪
フクヤク,服薬
シニガオ,死に顔
マチコガレル,待ちこがれる
トウギュウ,闘牛
ウケアイ,請け合い
ウブイ,初い
ショウタク,沼沢
ボクジン,牧人
タイシン,耐震
メヤニ,目やに
トウギン,当今
ヨコイト,横糸
チャクシュツ,嫡出
リョウゾク,良俗
コユキ,小雪
ヤワイ,やわい
ミョウヤク,妙薬
テンポウ,転封
ナマヤサシイ,生やさしい
キワメ,極め
ギョウタイ,業態
スクイトル,すくい取る
イタブル,いたぶる
ゼニガタ,銭形
パラフィン,パラフィン
ゴスイ,午睡
ヒツゼツ,筆舌
トリハズシ,取り外し
ウマレオチル,生まれ落ちる
カクン,家訓
シンゼル,しんぜる
マキモドス,巻き戻す
ミセジマイ,店じまい
カリテ,借り手
ジリヒン,じり貧
ツカミドコロ,つかみ所
ブツドウ,仏道
トイシ,砥石
タイバン,胎盤
カラマワリ,空回り
クツワ,くつわ
クンドク,訓読
カイダク,快諾
コクイ,国威
カズノコ,カズノコ
マゾ,マゾ
ムスビメ,結び目
ノリクム,乗り組む
ケツロ,結露
ワケマエ,分前
ウゲツ,雨月
ポカポカ,ぽかぽか
ヤクマワリ,役回り
ドクハ,読破
コヤク,子役
ホクホク,ホクホク
ギョニク,魚肉
アイタ,愛田
カイデン,皆伝
パルプ,パルプ
ドスグロイ,どす黒い
キエン,機縁
リョウカ,良家
ヒタハシル,ひた走る
リュウシツ,流失
ヨタク,預託
ソイネ,添い寝
シュクサイジツ,祝祭日
カラカイ,からかい
ツンノメル,つんのめる
クミアウ,組み合う
シンアン,新案
ナンタイ,軟体
ドクゴ,読後
ツリセン,釣り銭
サイユウ,西遊
ミツダン,密談
サカダル,酒樽
ツツマシヤカ,つつましやか
センリ,戦利
シンメイ,神明
フクジン,福神
ミツギモノ,貢ぎ物
クンカイ,訓戒
タワゴト,たわごと
ツチカベ,土壁
ハルマキ,春巻き
ブラッシュ,ブラッシュ
ウンセイ,運勢
カタリツタエル,語り伝える
サック,作句
ケンシュ,犬種
ギャアギャア,ぎゃあぎゃあ
ヨウテイ,要諦
サクセス,サクセス
ジガネ,地金
テマチン,手間賃
フクマク,腹膜
トロイ,トロイ
フンセン,奮戦
セイショウ,斉唱
ニクセイ,肉声
ハプニング,ハプニング
ユワエル,結わえる
オイオトス,追い落とす
イヅツ,井筒
バンキング,バンキング
ジツイン,実印
トウゴ,統語
カタテマ,片手間
トワイライト,トワイライト
ミダ,見田
マキトル,巻き取る
ジダンダ,地団太
オモラシ,お漏らし
コンカ,婚家
リュウニン,留任
ジョウフ,情婦
ツマズキ,つまずき
タルト,タルト
ハワイアン,ハワイアン
マギラス,まぎらす
ネトル,寝とる
ホッタテ,掘立
アナバ,穴場
ケサキ,毛先
ヨウリョク,葉緑
ケイガ,慶賀
ドリ,どり
ハクウン,白雲
ディスカウント,ディスカウント
ピョンピョン,ピョンピョン
ジョサイ,如才
ヨワタリ,世渡り
リャクズ,略図
エイイ,営為
キャバクラ,キャバクラ
ネゴト,寝言
ノドボトケ,のど仏
ウシロガミ,後ろ髪
キヌガサ,衣笠
オチノビル,落ちのびる
アカチャ,赤茶
バイオリニスト,バイオリニスト
ワカトウ,若党
シャアシャア,しゃあしゃあ
ツレヅレ,つれづれ
シニカル,シニカル
カタグルマ,肩車
フケ,福家
クイアラタメル,悔い改める
コンベンション,コンベンション
ヤセ,やせ
セキリョウ,せきりょう
ギョグ,漁具
ロウボク,老木
シンパ,新派
マグマ,マグマ
アンシュツ,案出
メイメツ,明滅
シンタン,薪炭
ジッケイ,実刑
ソウザン,早産
グンシ,軍師
ヨコバラ,横腹
ジャキョウ,邪教
メンテイ,面体
ハンジュク,半熟
キクズ,木くず
ミズアソビ,水遊び
エンタク,円卓
ブシツ,部室
ハリシゴト,針仕事
モウシノベル,申し述べる
カフウ,家風
ヒゲヅラ,ひげ面
タイリン,大輪
マルガタ,丸形
ジャドウ,邪道
エンジニアリング,エンジニアリング
イイヨドム,言いよどむ
ビルド,ビルド
シンキョク,新曲
マクシタ,幕下
ギャクギレ,逆切れ
ザンゾウ,残像
オッカケ,追っかけ
グロリア,グロリア
ジェントルマン,ジェントルマン
リョウサイ,良妻
チラシズシ,ちらしずし
ソコハカトナイ,そこはかとない
ホウリ,法理
チイク,知育
ダラケル,だらける
カンキュウ,緩急
ジワット,じわっと
ドヒ,奴婢
チンシャ,陳謝
シェアリング,シェアリング
オケヤ,おけ屋
キャクイン,客員
ラチガイ,らち外
カヤブキ,かやぶき
コクダイ,国大
スパイク,スパイク
ホネバル,骨張る
ハイヒン,廃品
コフ,古布
ジュラルミン,ジュラルミン
セイジョ,聖女
モウセン,もうせん
シロヌノ,白布
ゾウシュウワイ,贈収賄
オオザケ,大酒
コウミ,香味
ニクタラシイ,憎たらしい
ユキスギル,行き過ぎる
トケツ,吐血
ホロヨイ,ほろ酔い
カワセミ,カワセミ
キンカク,金閣
ナミダモロイ,涙もろい
キュウシュン,急峻
ヒサク,秘策
ブッショウ,物証
キャハン,脚絆
ウタガイブカイ,疑い深い
タチキ,立木
カンソン,寒村
ヤクジョ,躍如
トクシ,篤志
スエオキ,据え置き
ハクシン,迫真
コクゴウ,国号
ツルベ,つるべ
エイド,エイド
ヌケガケ,抜け駆け
ウラゴシ,裏ごし
タイハ,大破
オブジェクト,オブジェクト
キョシン,虚心
ハンバツ,藩閥
カイジン,怪人
ゴッド,ゴッド
ズカズカ,ずかずか
ケビョウ,仮病
バイカ,倍加
オオツブ,大粒
トライアングル,トライアングル
バクグン,幕軍
カグワシイ,かぐわしい
トリカカリ,取り掛かり
ハキチガエル,はきちがえる
トッカン,突貫
トバシ,飛ばし
アオダケ,青竹
ヒトアタリ,人当たり
イブニング,イブニング
アシハラ,あしはら
クサトリ,草取り
タオヤカ,たおやか
ハンラ,半裸
ジュンショク,殉職
